# category|path|normalized source line|expected count|owner/reason
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|METHOD_PREPARE_FOR_COMPOSE_REUSE -> prepareForComposeReuse(params)|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|cancelPendingNativeWritesForUserGesture()|3|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(operation, NativeScrollWriteResultCode.Committed)|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(operation, NativeScrollWriteResultCode.LayoutChanged)|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(operation, NativeScrollWriteResultCode.NotReady)|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(operation, NativeScrollWriteResultCode.Stale)|3|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|finishNativeWrite(operation, NativeScrollWriteResultCode.UnsupportedAxisOrNoLayout)|2|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|overScrollHandler?.onTouchEvent(cancelEvent)|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|overScrollHandler?.prepareForComposeReuse()|2|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|override fun onDestroy() {|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|override fun onTouchEvent(e: MotionEvent): Boolean {|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|private fun cancelPendingNativeWritesForUserGesture() {|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|private fun finishNativeWrite(|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|private fun installNativeWriteOperation(|1|android-terminal-lifecycle-funnel
android-lifecycle-fence|core-render-android/src/main/java/com/tencent/kuikly/core/render/android/expand/component/list/KRRecyclerView.kt|private fun prepareForComposeReuse(value: String?) {|1|android-terminal-lifecycle-funnel
